csk
Washington Sundar,IND,50,81,76,8,0,0,10,0,435,0,354,294,0,0,17,8
kkr
Kane Williamson,NZ,97,0,90,640,0,0,0,0,749,13,0,0,0,0,401,49.23
M.A. Starc,AUS,10,96,75,0,0,0,26,0,866,6,459,384,0,0,36,0.0
M.S.Dhoni,IND,86,0,85,597,0,0,0,0,646,11,0,0,0,0,438,54.27
T.Iqbal,BAN,85,0,70,360,0,0,0,0,312,10,0,0,0,0,308,36.0
T.A. Boult,NZ,10,95,78,0,0,0,14,0,545,2,491,384,0,0,5,0.0
Shaheen Afridi,PAK,10,91,66,0,0,0,8,0,271,3,398,288,0,0,21,0.0
Aaron Finch,AUS,94,0,66,635,0,0,0,0,700,13,0,0,0,0,440,48.85
A.Agar,AUS,40,83,66,33,0,0,4,0,108,8,402,288,0,0,76,4.12
D.L. Chahar,IND,20,83,75,2,0,0,6,0,187,5,412,288,0,0,15,0.4
O.Thomas,WI,10,82,70,0,0,0,9,0,318,3,398,288,0,0,4,0.0
S.Hetmyer,WI,81,0,66,144,0,0,0,0,92,8,0,0,0,0,116,18.0
rr
S.Narine,WI,50,95,75,11,0,0,12,0,528,0,399,336,0,0,16,11
Virat Kohli,IND,99,0,90,737,0,0,0,0,900,12,0,0,0,0,454,61.42
Francois du Plessis,SA,86,0,80,463,0,0,0,0,490,10,0,0,0,0,336,46.3
R.Aswin,IND,33,89,70,0,0,0,13,0,490,0,457,336,0,0,4,0
Rassie van der Dussen,SA,87,0,80,422,0,0,0,0,354,14,0,0,0,0,350,30.14
Y.S. Chahal,IND,10,88,76,0,0,0,11,0,447,0,444,336,0,0,0,0
C. de Grandhomme,NZ,80,67,75,68,0,0,9,0,372,4,497,336,0,0,58,17.0
Sikandar Raza,ZIM,76,66,70,41,0,0,6,0,212,1,575,336,0,0,26,41.0
Kyle Coetzer,SCO,81,0,70,197,0,0,0,0,234,3,0,0,0,0,130,65.67
B.Taylor,ZIM,81,0,70,121,0,0,0,0,61,7,0,0,0,0,111,17.29
L.Simmons,WI,83,0,70,268,0,0,0,0,251,9,0,0,0,0,195,29.78
kxip
Joe Root,ENG,96,0,75,356,0,0,0,0,331,13,0,0,0,0,251,27.38
P.J. Cummins,AUS,10,99,76,0,0,0,17,0,627,0,442,335,0,0,0,0
Mohammad Amir,PAK,10,93,66,0,0,0,14,0,521,0,450,330,0,0,0,0
Martin Guptill,NZ,89,0,66,594,0,0,0,0,687,11,0,0,0,0,391,54.0
Glenn Maxwell,AUS,87,64,80,362,0,0,4,0,490,11,411,252,0,0,253,32.91
D.Steyn,IND,10,81,75,0,0,0,6,0,220,0,380,252,0,0,0,0
David Miller,SA,83,0,76,122,0,0,0,0,151,1,0,0,0,0,83,122.0
K.M.A. Paul,WI,39,82,70,4,0,0,9,0,358,0,333,252,0,0,7,4
Eoin Morgan,ENG,85,0,75,113,0,0,0,0,68,6,0,0,0,0,98,18.83
K.Pollard,WI,87,60,83,260,0,0,1,0,329,6,362,252,0,0,219,43.33
Jos Buttler,ENG,90,0,90,559,0,0,0,0,610,13,0,0,0,0,378,43.0
srh
Rashid Khan,AFG,50,98,75,24,0,0,7,0,272,2,471,332,0,0,49,12.0
Colin Munro,NZ,88,0,75,415,0,0,0,0,380,13,0,0,0,0,320,31.92
L.Ferguson,NZ,10,87,75,0,0,0,9,0,322,0,499,330,0,0,0,0
H.Pandya,IND,85,69,85,522,0,0,5,0,753,10,354,252,0,0,407,52.2
Kuldeep Yadav,IND,14,87,66,0,0,0,10,0,364,0,356,252,0,0,0,0
M.Lambuschagne,AUS,87,20,70,449,0,0,0,0,422,11,0,0,0,0,366,40.82
Evin Lewis,WI,84,0,75,427,0,0,0,0,451,7,0,0,0,0,333,61.0
M.Rahim,BAN,83,0,75,151,0,0,0,0,121,5,0,0,0,0,131,30.2
Kusal Perera,SL,82,0,75,66,0,0,0,0,44,3,0,0,0,0,58,22.0
Shadab Khan,PAK,30,86,74,0,0,0,14,0,526,0,314,252,0,0,0,0
S.Curran,ENG,33,83,76,4,0,0,8,0,291,0,361,252,0,0,16,4
rcb
Rohit Sharma,IND,97,0,70,561,0,0,0,0,673,11,0,0,0,0,339,51.0
S.A.Hasan,BAN,87,87,75,261,0,0,17,0,844,11,441,346,0,0,214,23.73
Imran Tahir,SA,10,90,60,1,0,0,12,0,462,4,424,348,0,0,17,0.25
Quinton de Kock,SA,93,0,85,499,0,0,0,0,494,14,0,0,0,0,364,35.64
Mustafizur Rahman,BAN,10,85,70,1,0,0,8,0,316,2,320,258,0,0,16,0.5
C.H. Morris,SA,30,86,75,4,0,0,8,0,258,3,362,264,0,0,38,1.33
Jason Roy,ENG,88,0,76,512,0,0,0,0,489,14,0,0,0,0,395,36.57
D.J.Bravo,WI,57,81,80,43,0,0,0,0,0,4,0,0,0,0,46,10.75
Jonny Bairstow,ENG,86,0,80,256,0,0,0,0,259,7,0,0,0,0,183,36.57
M.J. Santner,NZ,60,86,75,86,0,0,8,0,348,6,342,264,0,0,102,14.33
A.U. Rashid,ENG,10,86,70,0,0,0,11,0,376,3,359,263,0,0,4,0.0
